Model,Time,Command_Acc_p15,Command_Acc_p1,Command_Acc_p2,Command_Acc_p3,Command_Acc_p4,Command_Acc_p5,Acc_p6,Acc_p7,Acc_p8,Size
Subjet_4,12.951282900758088,0.6262,0.5766,0.3426,0.5652,0.9725,0.68,0.29,0.21600000000000005,0.2574,20
Subjet_4,13.63755236659199,0.6593,0.5586,0.4167,0.6435,0.9817,0.7,0.33,0.20800000000000002,0.3069,20
Subjet_4,12.818190290592609,0.6556,0.5225,0.46299999999999997,0.5652,0.9908,0.75,0.24,0.256,0.297,20
Subjet_4,17.82236247789115,0.6851,0.6396,0.4444,0.6435,0.9908,0.71,0.28,0.21600000000000003,0.2574,30
Subjet_4,14.475529598072171,0.6851,0.6126,0.4722,0.6435,0.9908,0.71,0.32,0.21600000000000003,0.2673,30
Subjet_4,16.099349107593298,0.6851,0.5676,0.5185,0.6696,0.9908,0.68,0.32,0.24,0.2673,30
Subjet_4,15.502209338359535,0.6722,0.6126,0.4907,0.5826,0.9908,0.69,0.26,0.21600000000000003,0.3465,30
Subjet_4,17.675665537826713,0.6538,0.5315,0.4722,0.5652,0.9908,0.72,0.34,0.248,0.2475,30
Subjet_4,15.352047715336086,0.6832,0.6126,0.5,0.6435,0.9908,0.67,0.31,0.24,0.297,30
Subjet_4,16.284203785471618,0.6667,0.5676,0.3889,0.6348,0.9908,0.76,0.3,0.23199999999999998,0.2673,30
Subjet_4,15.602406977675855,0.6667,0.5676,0.4352,0.6087,0.9908,0.74,0.35,0.23199999999999998,0.2772,30
Subjet_4,17.28409277368337,0.7127,0.6396,0.537,0.6522,0.9908,0.75,0.29,0.21600000000000003,0.2772,30
Subjet_4,14.753566126339138,0.6777,0.6306,0.4537,0.6348,0.9908,0.68,0.31,0.272,0.2574,30
Subjet_5,15.18813424371183,0.6059,0.4685,0.3519,0.6087,0.6606,0.97,0.33,0.368,0.3564,10
Subjet_5,11.239974085241556,0.5912,0.4505,0.3611,0.5565,0.6697,0.95,0.26,0.304,0.3366,10
Subjet_5,12.98834324348718,0.6059,0.4775,0.3056,0.5826,0.7248,0.97,0.27,0.272,0.3762,10
Subjet_5,12.862805586308241,0.6169,0.4685,0.3611,0.6261,0.6881,0.97,0.32,0.4,0.3366,10
Subjet_5,12.632404801435769,0.6262,0.5405,0.3148,0.6087,0.7431,0.95,0.27,0.24,0.297,10
Subjet_5,12.1671292046085,0.593,0.4775,0.3241,0.5565,0.6697,0.97,0.24,0.312,0.3168,10
Subjet_5,12.007169103249907,0.5985,0.5135,0.2963,0.5652,0.6881,0.96,0.21,0.336,0.3465,10
Subjet_5,12.707934223115444,0.593,0.4685,0.3241,0.5739,0.6606,0.97,0.24,0.256,0.2871,10
Subjet_5,13.188739869743586,0.5875,0.4414,0.3148,0.5478,0.7248,0.94,0.25,0.248,0.3267,10
Subjet_5,12.692584321834147,0.6243,0.5766,0.3333,0.6087,0.6514,0.98,0.31,0.368,0.3465,10
Subjet_5,13.725209419615567,0.5727,0.4324,0.3241,0.5478,0.6147,0.98,0.27,0.304,0.297,20
Subjet_5,14.392166833393276,0.628,0.5946,0.287,0.6,0.6972,0.99,0.41,0.408,0.2376,20
Subjet_5,14.045532104559243,0.5912,0.4955,0.2407,0.5739,0.6789,1.0,0.31,0.344,0.3069,20
Subjet_5,13.597239578142762,0.5691,0.3964,0.2222,0.5304,0.7431,0.99,0.26,0.344,0.3366,20
Subjet_5,12.59607124235481,0.5912,0.4685,0.25,0.6,0.6789,0.99,0.34,0.344,0.3168,20
Subjet_5,14.967049748636782,0.6483,0.5495,0.3426,0.687,0.6881,1.0,0.31,0.344,0.2673,20
Subjet_5,13.2650923486799,0.5617,0.4595,0.2407,0.5478,0.6055,0.99,0.33,0.336,0.2673,20
Subjet_5,14.452641159296036,0.6096,0.5045,0.3333,0.5739,0.6972,0.97,0.2,0.272,0.3465,20
Subjet_5,16.58108754362911,0.6446,0.5856,0.3056,0.6348,0.7339,0.99,0.34,0.36,0.2475,20
Subjet_5,13.244051995687187,0.6335,0.5405,0.3519,0.5913,0.7248,0.99,0.36,0.352,0.297,20
Subjet_5,15.94709372613579,0.6464,0.5676,0.2593,0.6696,0.7706,0.99,0.42,0.28,0.3267,30
Subjet_5,13.551479775458574,0.6519,0.5405,0.3241,0.6435,0.7982,0.98,0.31,0.312,0.2475,30
Subjet_5,14.17694134451449,0.663,0.5495,0.287,0.7391,0.7706,0.99,0.35,0.28,0.2871,30
Subjet_5,17.518271793611348,0.6519,0.5946,0.2963,0.6087,0.8073,0.98,0.41,0.312,0.3168,30
Subjet_5,12.986878073774278,0.5838,0.5495,0.1944,0.5739,0.6422,0.99,0.32,0.264,0.2871,30
Subjet_5,14.699057007208467,0.5985,0.5495,0.2685,0.5478,0.6697,0.99,0.3,0.248,0.2673,30
Subjet_5,14.681321636773646,0.6354,0.5135,0.25,0.7304,0.7156,0.99,0.41,0.352,0.2673,30
Subjet_5,13.0170652968809,0.5617,0.4505,0.2037,0.5217,0.6881,0.98,0.31,0.344,0.3168,30
Subjet_5,12.88939678762108,0.6464,0.5856,0.2407,0.6087,0.8349,0.99,0.35,0.328,0.3267,30
Subjet_5,13.479213173501194,0.547,0.4234,0.2037,0.5217,0.6422,0.98,0.28,0.216,0.3762,30
