Recall,Precision,Thresholds,Data,Train Size,Speaker Number,D-vector
0.982,0.3893735130848533,0.8327062,Digit Data,40%,5,conv5_block3_out
0.982,0.3896825396825397,0.83272403,Digit Data,40%,5,conv5_block3_out
0.982,0.3899920571882447,0.8334037000000001,Digit Data,40%,5,conv5_block3_out
0.982,0.390302066772655,0.83370465,Digit Data,40%,5,conv5_block3_out
0.982,0.39061256961018304,0.83388686,Digit Data,40%,5,conv5_block3_out
0.982,0.3909235668789809,0.833976,Digit Data,40%,5,conv5_block3_out
0.982,0.3912350597609562,0.83415985,Digit Data,40%,5,conv5_block3_out
0.982,0.3915470494417863,0.8342242,Digit Data,40%,5,conv5_block3_out
0.98,0.3910614525139665,0.83435774,Digit Data,40%,5,conv5_block3_out
0.978,0.3905750798722045,0.8344332,Digit Data,40%,5,conv5_block3_out
0.978,0.3908872901678657,0.8345019,Digit Data,40%,5,conv5_block3_out
0.978,0.3912,0.8346771999999999,Digit Data,40%,5,conv5_block3_out
0.978,0.3915132105684548,0.83482295,Digit Data,40%,5,conv5_block3_out
0.978,0.3918269230769231,0.83495784,Digit Data,40%,5,conv5_block3_out
0.978,0.3921411387329591,0.83501637,Digit Data,40%,5,conv5_block3_out
0.978,0.3924558587479936,0.83518314,Digit Data,40%,5,conv5_block3_out
0.978,0.3927710843373494,0.83521473,Digit Data,40%,5,conv5_block3_out
0.978,0.3930868167202573,0.8354743,Digit Data,40%,5,conv5_block3_out
0.978,0.3934030571198713,0.83548117,Digit Data,40%,5,conv5_block3_out
0.976,0.392914653784219,0.8355867,Digit Data,40%,5,conv5_block3_out
0.976,0.3932312651087833,0.83565676,Digit Data,40%,5,conv5_block3_out
0.976,0.3935483870967742,0.83566725,Digit Data,40%,5,conv5_block3_out
0.976,0.39386602098466506,0.83568954,Digit Data,40%,5,conv5_block3_out
0.976,0.3941841680129241,0.83581334,Digit Data,40%,5,conv5_block3_out
0.9740000000000001,0.3936944219886823,0.8358841,Digit Data,40%,5,conv5_block3_out
0.9740000000000001,0.3940129449838188,0.8359299000000001,Digit Data,40%,5,conv5_block3_out
0.9740000000000001,0.394331983805668,0.8360006,Digit Data,40%,5,conv5_block3_out
0.9740000000000001,0.3946515397082658,0.83615136,Digit Data,40%,5,conv5_block3_out
0.9740000000000001,0.39497161394971614,0.8361804,Digit Data,40%,5,conv5_block3_out
0.972,0.3944805194805195,0.8362096,Digit Data,40%,5,conv5_block3_out
0.97,0.3939886271324127,0.83633745,Digit Data,40%,5,conv5_block3_out
0.97,0.3943089430894309,0.8364966,Digit Data,40%,5,conv5_block3_out
0.97,0.3946297803091945,0.8366469000000001,Digit Data,40%,5,conv5_block3_out
0.97,0.3949511400651466,0.83673096,Digit Data,40%,5,conv5_block3_out
0.97,0.3952730236348818,0.83677906,Digit Data,40%,5,conv5_block3_out
0.97,0.3955954323001632,0.83690864,Digit Data,40%,5,conv5_block3_out
0.97,0.3959183673469388,0.83692676,Digit Data,40%,5,conv5_block3_out
0.97,0.39624183006535946,0.8369331,Digit Data,40%,5,conv5_block3_out
0.97,0.3965658217497956,0.8369499,Digit Data,40%,5,conv5_block3_out
0.97,0.3968903436988544,0.83702266,Digit Data,40%,5,conv5_block3_out
0.97,0.3972153972153972,0.83704054,Digit Data,40%,5,conv5_block3_out
0.97,0.3975409836065574,0.8372084999999999,Digit Data,40%,5,conv5_block3_out
0.97,0.3978671041837572,0.83733547,Digit Data,40%,5,conv5_block3_out
0.97,0.3981937602627258,0.83735144,Digit Data,40%,5,conv5_block3_out
0.97,0.3985209531635168,0.8374503000000001,Digit Data,40%,5,conv5_block3_out
0.97,0.3988486842105263,0.8375238000000002,Digit Data,40%,5,conv5_block3_out
0.97,0.3991769547325103,0.8378024,Digit Data,40%,5,conv5_block3_out
0.968,0.3986820428336079,0.8379346999999999,Digit Data,40%,5,conv5_block3_out
0.968,0.39901071723000825,0.83795816,Digit Data,40%,5,conv5_block3_out
0.968,0.39933993399339934,0.83804506,Digit Data,40%,5,conv5_block3_out
0.968,0.3996696944673823,0.83810365,Digit Data,40%,5,conv5_block3_out
0.968,0.4,0.83827657,Digit Data,40%,5,conv5_block3_out
